idStore,Name,Phone,Address,City,State,ZIP,Hours
1016,Dallas ,503-623-9668,"170 W. Ellendale, Suite 105 ",Dallas ,OR,97338,11-7 M-S; 12-6 Sun
1135,Dayville ,541-987-2133,207 W Franklin Ave ,Dayville ,OR,97825,Winter: 9-6 M-S; 9-5 Sun. Summer: 8-6 M-S; 9-5 Sun
1020,Depoe Bay ,541-765-2317,"Hwy 101, Mall 101, Ste H ",Depoe Bay ,OR,97341,11-7 M-S; Closed Sunday
1203,Detroit  ,503-854-3696,215 D Street ,Detroit  ,OR,97342,Winter: 7-8 Sun-Th; 7-10 FS; Summer: 7-10 M-Sun
1206,Dexter ,541-937-2993,39092 Dexter Rd ,Dexter ,OR,97431,11-8 M-S; Closed Sunday
1088,Drain ,541-836-2054,202 Second Street ,Drain ,OR,97435,9-9 Sun-Th; 9-10 FS
1026,Eagle Point ,541-826-3255,11150 Highway 62 ,Eagle Point ,OR,97524,"9:30-8 M-S, 11-5 Sun"
1079,Elgin ,541-437-9511,393 Albany St ,Elgin ,OR,97827,9:30-8 M-Th; 9:30-9 FS; 11-5 Sun
1005,Enterprise ,541-426-4393,106 W Main Street ,Enterprise ,OR,97828,10-6 M-S; Closed Sunday
1046,Estacada ,503-630-6886,305 SW Wade St. ,Estacada ,OR,97023,10-7 M-S; Closed Sunday
1218,Eugene Downtown ,541-343-4424,220 W 8th Ave ,Eugene Downtown ,OR,97401,10-8 M-Th; 10-9 FS; Closed Sunday
1193,Eugene NE ,541-485-3093,440 Coburg Rd Suite 100 ,Eugene NE ,OR,97401,10-8 M-T; 10-9 F-S; 11-5 Sun
1169,Eugene NW ,541-688-1400,74 Division Ave ,Eugene NW ,OR,97404,11-8 M-Th; 11-9 FS; 11-6 Sun
1154,Eugene South ,541-343-3611,2866 Willamette St ,Eugene South ,OR,97405,10-8 M-Th; 10-9 F-S; 10-7 Sun
1188,Eugene West ,541-343-2757,2170 W 6th Avenue ,Eugene West ,OR,97402,"10-8 M-TH, 10-9 FS; Closed Sunday"
1229,Eugene Westside ,541-342-3881,4355 Commerce St #109 ,Eugene Westside ,OR,97402,10-8 M-Th; 10-9 FS; 11-5 Sun
1159,Fields ,541-495-2275,22276 Fields Dr ,Fields ,OR,97710,8-6 M-S; 9-5 Sun
1077,Florence ,541-997-2084,1730 Highway 126 ,Florence ,OR,97439,10-7 M-S; Closed Sunday
1146,Forest Grove ,503-359-5586,3130 Pacific Ave ,Forest Grove ,OR,97116,11-7 M-S; Closed Sunday
1066,Fossil ,541-763-3441,690 Main Street ,Fossil ,OR,97830,9-6 Mon-Sat
1125,Garibaldi ,503-322-3456,510 Garibaldi Ave ,Garibaldi ,OR,97118,9-6 M-F; 10-6 S; Closed Sunday
1160,Gearhart ,503-738-8232,4206 Highway 101 N ,Gearhart ,OR,97138,Winter: 11-7 M-S; Summer: 12-6 M-Sun
1065,Glendale ,541-832-2561,432 Pacific Ave ,Glendale ,OR,97442,9-7 M-S; 10-6 Sun
1057,Gold Beach ,541-247-7514,29830 Ellensburg Avenue ,Gold Beach ,OR,97444,10-6 M-S; Closed Sunday
1244,Government Camp ,503-272-3107,30521 E Meldrum St ,Government Camp ,OR,97028,10-8 M-Sun
1076,Grants Pass Downtown ,541-479-3729,210 SE 8th Street ,Grants Pass Downtown ,OR,97526,9-7 M-Th; 9-8 FS; Closed Sunday
1214,Grants Pass East ,541-476-1844,1638 Williams Hwy ,Grants Pass East ,OR,97527,9-7 M-Th; 9-8 FS; 11-5 Sun
1227,Grass Valley ,541-333-2507,104 N Mill ,Grass Valley ,OR,97029,"8-6:30 M-F; 8-7 S, 10-6 Sun"
1025,Gresham East ,503-665-9327,2414 SE Burnside Road ,Gresham East ,OR,97080,11-10 M-S; 11-6 Sun
1119,Gresham Rockwood ,503-665-4479,7 NE 181st Avenue ,Gresham Rockwood ,OR,97230,11-8 M-S; 11-6 Sun
1041,Gresham Troutdale ,503-665-5227,"3030 NE Hogan Dr, # A ",Gresham Troutdale ,OR,97030,11-10 M-S; 11-6 Sun
1071,Halfway ,541-742-2726,143 N Main St ,Halfway ,OR,97834,10-6 M-S; Closed Sunday
1098,Happy Valley Southgate ,503-774-4201,10415 SE 82nd Ave ,Happy Valley Southgate ,OR,97086,10-8 M-S; 11-6 Sun
1109,Harrisburg ,541-995-8203,103 S Third St. ,Harrisburg ,OR,97446,7-10 M-Sun
1002,Heppner ,541-676-9158,217 N Main Street ,Heppner ,OR,97836,7:30-6 M-F; 9-6 S; Closed Sunday
1010,Hermiston ,541-567-8885,125 SE 4th Street ,Hermiston ,OR,97838,11-7 M-Th; 11-8 FS; 12-5 Sun
1096,Hillsboro ,503-648-4232,218 SE 6th Ave ,Hillsboro ,OR,97123,10-7 M-S; Closed Sunday
1181,Hillsboro Aloha ,503-645-5813,1285 NW 185th Avenue ,Hillsboro Aloha ,OR,97006,10-7 M-S; Closed Sunday
1042,Hood River ,541-386-1991,2149 Cascade Ave #107 ,Hood River ,OR,97031,10-7 M-S; 12-6 Sun
1204,Huntington ,541-869-2855,165 1st Street E ,Huntington ,OR,97907,10-6 M-S; Closed Sunday
1175,Idleyld Park ,541-496-3404,23873 N Umpqua Hwy ,Idleyld Park ,OR,97447,7-9 M-S; Closed Sunday
1054,Independence ,503-838-1941,1353 Monmouth St ,Independence ,OR,97351,11-7 M-F; 10-6 S; Closed Sunday
1209,Ione ,541-422-7122,285 W Main Street ,Ione ,OR,97843,7-6 M-F; 8-5 S; Closed Sunday
1080,Jacksonville ,541-899-1829,690 N Fifth ,Jacksonville ,OR,97530,9-6 M-S; 11-5 Sun
1051,John Day ,541-575-1611,131 N Canyon Blvd. ,John Day ,OR,97845,10-6 M-S; Closed Sunday
1136,Jordan Valley ,541-586-2201,807 Main Street ,Jordan Valley ,OR,97910,7-10 M-Sun
1082,Joseph  ,541-432-2690,6 S. Main St ,Joseph  ,OR,97846,Winter: 8-6 M-S;10-4 Sun Summer: 7-6 M-S;10-4 Sun
1061,Junction City ,541-998-6598,1650 Ivy St ,Junction City ,OR,97448,11-7 M-S; Closed Sunday
1220,Keizer ,503-390-0322,3530 River Rd North ,Keizer ,OR,97303,11-7 M-S; Closed Sunday
1224,Keno ,541-884-4944,15211 Hwy 66 ,Keno ,OR,97627,7-8 M-Sun
1189,King City ,503-620-5115,15745 SW 116th Avenue ,King City ,OR,97224,10-8 M-S; Closed Sunday
1152,Klamath Falls Downtown ,541-882-3684,825 Klamath Ave ,Klamath Falls Downtown ,OR,97601,10-8 M-S; 10-9 F; 11-3 Sun
1030,Klamath Falls East ,541-884-3313,4309 S 6th Street ,Klamath Falls East ,OR,97603,10-7 M-S; Closed Sunday
1036,La Grande ,541-963-4386,"2212 Island Avenue, Space 102 ",La Grande ,OR,97850,11-7 M-Th; 11-8 F; 11-7 S; 1-5 Sun
1034,La Pine ,541-536-2825,51470 Highway 97 #11 ,La Pine ,OR,97739,9:30-7 M-S; Closed Sunday
1178,Lake Oswego Downtown ,503-636-1112,644 N State Street ,Lake Oswego Downtown ,OR,97034,11-7 M-Th;10-8 FS; 12-5 Sun
1158,Lake Oswego Mt Park ,503-636-0310,4D Monroe Parkway ,Lake Oswego Mt Park ,OR,97035,10-7 M-W; 10-8 Th-S; Closed Sunday
1049,Lakeside ,541-759-3733,215 S Eighth ,Lakeside ,OR,97449,11-7 M-Sun
1058,Lakeview ,541-947-2236,305 N F Street ,Lakeview ,OR,97630,7-10 M-Th; 7-10 F; 9-9 S & Sun
1013,Lebanon ,541-258-6126,2780 S Santiam Hwy ,Lebanon ,OR,97355,11-7 M-Th; 11-8 FS; 12-6 Sun
1091,Lincoln City North ,541-994-2521,2409 NW Hwy 101 ,Lincoln City North ,OR,97367,11-7 M-W;10-8 Th-Sat; 11-6 Sun
1023,Lincoln City South ,541-996-2056,4787 SW Highway 101 ,Lincoln City South ,OR,97367,10-7 M-W; 10-8 Th-S; 11-6 Sun
1148,Madras ,541-475-2491,"1555 SW Highway 97, Suite A ",Madras ,OR,97741,"10-7 M-S, 11-4 Sun"
1127,Malin ,541-723-2681,2115 Broadway St ,Malin ,OR,97632,8-6 M-S; Closed Sunday
1176,Mapleton ,541-268-4478,10792 Highway 126 ,Mapleton ,OR,97453,7-8 M-S; 7-8 Sun
1149,Maupin ,541-395-2888,507 Deschutes Avenue ,Maupin ,OR,97037,8-7 M-Sun
1089,McMinnville ,503-472-2841,1270 NE Baker St ,McMinnville ,OR,97128,11-7 M-S; Closed Sunday
1217,Medford East ,541-773-1505,"535 Stevens Street, Ste K ",Medford East ,OR,97504,9-8 M-Th; 9-9 FS; 11-5 Sun
1131,Medford North ,541-973-2240,"1590 Delta Waters Rd, Suite 110 ",Medford North ,OR,97504,10-8 M-TH; 10-9 F-S; 12-5 Sun
1174,Medford South ,541-772-1155,"51 E Stewart Ave, Suite 100 ",Medford South ,OR,97501,9-8 M-S; 10-5 Sun
1210,Medford West ,541-772-5611,2060 W Main St ,Medford West ,OR,97501,10-8 M-Th; 10-10 F-S; 12-5 Sun
1126,Merrill ,541-798-5722,137 W Front St ,Merrill ,OR,97633,8-8 M-Sun
1007,Mill City ,503-897-2881,250 NW 9TH Ave ,Mill City ,OR,97360,9-7 M-F; 8-7 S; 8-4 Sun
1063,Milton-Freewater ,541-938-5711,1006 S Main Street ,Milton-Freewater ,OR,97862,11-7 M-S; Closed Sunday
1094,Milwaukie ,503-654-9020,10804 SE Oak St ,Milwaukie ,OR,97222,10-8 M-S; 11-6 Sun
1105,Milwaukie-Oak Grove ,503-653-7375,14632 SE McLoughlin Blvd. ,Milwaukie-Oak Grove ,OR,97267,11-7:30 M-Th; 11-8:30 FS; 11-5 Sun
1117,Molalla ,503-829-2384,"1585 W Main Street, Ste G ",Molalla ,OR,97038,11-7 M-S; 12-4 Sun
1233,Monument ,541-934-2290,335 John Day St ,Monument ,OR,97864,8-6 M-S; 10-4 Sun
1130,Myrtle Creek ,541-863-4596,217 NW 2nd Avenue ,Myrtle Creek ,OR,97457,11-7 M-S; Closed Sunday
1043,Myrtle Point ,541-572-5093,309 Spruce St ,Myrtle Point ,OR,97458,11-7 M-S; Closed Sunday
1162,Newberg ,503-538-5180,2303-A Portland Rd ,Newberg ,OR,97132,11-7 M-Th; 10-7 FS; Closed Sunday
1022,Newport ,541-265-5621,2019 N Coast Hwy ,Newport ,OR,97365,11-7 M-S; 11-4 Sun
1097,North Bend ,541-756-2616,"2080 ""B"" Public Sq Ct. ",North Bend ,OR,97459,10-7 M-Th; 10-8 FS; Closed Sunday
1038,North Powder ,541-898-2111,845 2nd St ,North Powder ,OR,97867,8-7 M-S; 9-5 Sun
1015,Nyssa ,541-372-2222,424 Main St. ,Nyssa ,OR,97913,9-6 M-Th; 9-8 F; 12-8 S; Closed Sunday
1118,Oakridge ,541-782-3405,47778 Highway 58 ,Oakridge ,OR,97463,10-8 M-S; 12-7 Sun
1235,Odessa ,541-356-2272,28200 Hwy 140W ,Odessa ,OR,97601,Winter: 7-7 M-Sun; Summer: 7-9 M-Sun
1011,Ontario ,541-889-6129,1179 SW 4th Avenue ,Ontario ,OR,97914,11-7 M-S; Closed Sunday
1172,Oregon City ,503-655-9334,"1678 Beavercreek Rd, Suite Q ",Oregon City ,OR,97045,11-7 M-S; Closed Sunday
1037,Paisley ,541-943-3110,329 Highway 31 ,Paisley ,OR,97636,Winter: 8-6 M-S; Summer: 8-7 M-S; Closed Sunday
1100,Pendleton ,541-276-1202,237 SW Emigrant Avenue ,Pendleton ,OR,97801,10-7 M-S; Closed Sunday
1062,Philomath ,541-929-3313,1805 Main Street ,Philomath ,OR,97370,11-7 M-S; Closed Sunday
1033,Pilot Rock ,541-443-2251,168 NW Birch Street ,Pilot Rock ,OR,97868,8:30-8 M-S; 8-7 Sun
1128,Port Orford ,541-332-0990,1819 Oregon St ,Port Orford ,OR,97465,10-6 M-S; Closed Sunday
1205,Portland 205 ,503-254-5454,10128A E Burnside Street ,Portland,OR,97216,11-9 M-Th; 11-10 FS; 11-7 Sun
1139,Portland Barbur ,503-246-1760,9875 SW Barbur Blvd. ,Portland,OR,97219,12-9 M-Th; 12-10 FS; 12-8 Sun
1236,Portland Barnes ,503-203-5145,7365-D SW Barnes Rd ,Portland,OR,97225,11:30-7:30 M-Th; 11:30-8 FS; 12-5 Sun
1192,Portland Beaumont ,503-282-0178,3334 NE Killingsworth Street ,Portland,OR,97211,11-7 M-Th; 11-8 F-S; Closed Sunday
1243,Portland Bethany Blvd ,503-533-5584,4756 NW Bethany Blvd ,Portland,OR,97229,11-7 M-Th; 11-8 FS; 11-6 Sun
1107,Portland Cedar Mill ,503-626-2611,13528 NW Cornell Rd ,Portland,OR,97229,11-8 M-Th; 10-9 FS; 11-5 Sun
1199,Portland Center ,503-241-9354,"2075 SW First Ave, Suite 1B ",Portland,OR,97201,10-7 M-Th; 10-8 FS; 12-6 Sun
1145,Portland Division ,503-762-0227,"16353 SE Division St, Suite 100 ",Portland,OR,97236,10-8 M-S; Closed Sunday
1164,Portland Downtown ,503-227-2791,550 SW Washington Street ,Portland,OR,97204,10:30-6 M-S; 12-6 Sun
1186,Portland Eastport ,503-771-8535,4229 SE 82nd Ave Ste 1 ,Portland,OR,97266,11-8 M-Th; 10-8 FS; 11-4 Sun
1170,Portland Eleventh Ave ,503-236-2076,1040 SE Hawthorne Blvd. ,Portland,OR,97214,11-7 M-S; 11-5 Sun
1241,Portland Garden Home ,503-246-3263,7410 SW Oleson Rd ,Portland,OR,97223,10-7 M-Th; 10-9 FS; 12-5 Sun
1197,Portland Gateway ,503-252-4561,10320 NE Halsey Street ,Portland,OR,97220,11-7 M-S; 12-5 Sun
1155,Portland Hawthorne ,503-235-1573,4638 SE Hawthorne Blvd. ,Portland,OR,97215,10-7 M-Th; 10-8 FS; Closed Sunday
1035,Portland Heights ,503-243-1064,2855 SW Patton Rd ,Portland,OR,97201,11-7 M-S; 12-6 Sun
1074,Portland Hillsdale ,503-244-4812,"6327-D SW Capitol Hwy, Suite D ",Portland,OR,97239,11-7 M-Th; 11-8 F; 11-7 S; Closed Sunday
1182,Portland Hollywood ,503-284-0987,3738 NE Sandy Blvd. ,Portland,OR,97232,11-7 M-Th; 11-10 FS; Sun 12-5
1201,Portland Jantzen Beach ,503-283-2907,1190 N Jantzen Dr. ,Portland,OR,97217,9:30-7:30 M-Th; 9:30-8 FS; 10-7 Sun
1093,Portland Kenton ,503-285-1776,8221 N Denver Ave ,Portland,OR,97217,11-7 M-S; Closed Sunday
1187,Portland King Blvd ,503-493-3473,"3532 NE MLK Jr. Blvd., Suite B ",Portland,OR,97212,11-7 M-S; Closed Sunday
1221,Portland Lloyd Center ,503-288-0961,1621 NE 9th Ave ,Portland,OR,97212,11:00-8:00 M-S; 1-6:00 Sun
1112,Portland Macadam ,503-246-1466,"6141 SW Macadam Ave, Suite 103 ",Portland,OR,97239,10-8 M-Th; 10-9 FS; 12-6 Sun
1113,Portland Menlo Park ,503-252-3550,12425A NE Glisan Street ,Portland,OR,97230,"9:30-8 M-Th, 9:30-9 FS; Closed Sunday"
1166,Portland Moreland ,503-235-3635,7207 SE Milwaukie Ave ,Portland,OR,97202,10-8 M-S; Closed Sunday
1120,Portland Parkrose ,503-252-4409,4200 NE 122nd Ave ,Portland,OR,97230,11-7 M-S; Closed Sunday
1245,Portland Pearl District ,503-477-8604,"900 NW Lovejoy St, Suite 140 ",Portland,OR,97209,9-10 M-F; 10-10 S; 12-7 Sun
1183,Portland Powell ,503-771-8107,5120 SE Powell Blvd. ,Portland,OR,97206,10-8 M-TH;10-9 F-S; Closed Sunday
1202,Portland Raleigh Hills ,503-292-1572,4967 SW 76th Avenue ,Portland,OR,97225,11-7 M-S; 12-5 Sun
1179,Portland Rose City ,503-284-7591,7253 NE Sandy Blvd. ,Portland,OR,97213,9:30-9 M-S; 11-4 Sun
1142,Portland St Johns ,503-286-3931,8915 N Lombard Street ,Portland,OR,97203,10-7 M-S; Closed Sunday
1200,Portland Tenth Ave ,503-227-3391,925 SW 10th Ave ,Portland,OR,97205,11-7 M-S; Closed Sunday
1185,Portland Uptown ,503-227-0338,1 NW 23rd Pl ,Portland,OR,97210,10-7 M-S; Closed Sunday
1216,Portland West Slope ,503-297-5118,8765 SW Canyon Ln ,Portland,OR,97225,10-7 M-S; 1-5 Sun
1215,Portland Woodstock ,503-777-3058,4324 SE Woodstock Blvd. ,Portland,OR,97206,10-7 M-S; 12-5 Sun
1031,Powers ,541-439-2321,409 2nd Avenue ,Powers ,OR,97466,Win: 8-6 M-Th; 8-7 FS; 9-6 Sun Sum: 8-7M-S; 9-6Sun
1070,Prairie City ,541-820-3739,124 Front Street ,Prairie City ,OR,97869,9-6 M-S; Closed Sunday
1003,Prineville ,541-447-5844,1350 NE 3rd Avenue ,Prineville ,OR,97754,10-7 M-S; 10-6 Sun
1168,Prospect ,541-560-3655,500 Mill Creek Dr ,Prospect ,OR,97536,Winter: 8-7 M-Sun; Summer: 8-8 M-Sun
1052,Rainier ,503-556-6321,75928 Rockcrest ,Rainier ,OR,97048,10-7 M-Th; 10-7:30 FS; 11-4 Sun
1246,Redmond North ,541-526-1335,"2757 NW 7th, Unit I ",Redmond North ,OR,97756,M-S 10-8; 10-5 Sun
1004,Redmond South ,541-548-2722,1705 Odem Medo Rd. ,Redmond South ,OR,97756,"10-8 M-S, 10-5 Sun"
1019,Reedsport ,541-271-3412,1421 Highway 101 S ,Reedsport ,OR,97467,10-7 M-S; Closed Sunday
1078,Richland ,541-893-6167,209 Main Street ,Richland ,OR,97870,9-6 M-S; Closed Sunday
1075,Riddle ,541-874-2411,308 N Main Street ,Riddle ,OR,97469,11-7 M-Th; 11-8 FS; 12-7 Sun
1104,Rockaway ,503-355-8330,422 Hwy 101 S ,Rockaway ,OR,97136,11-7 M-S; Closed Sunday
1050,Rogue River ,541-582-3260,"502 E Main Street, Ste 4 ",Rogue River ,OR,97537,10-7 M-Th; 10-8 FS; 11-5 Sun
1095,Roseburg East ,541-672-4322,1350-26 NE Stephens Street ,Roseburg East ,OR,97470,10-7 M-Th; 10-8 FS; 11-4 Sun
1225,Roseburg West ,541-672-9947,"780 NW Garden Valley Blvd., #64 ",Roseburg West ,OR,97470,9-7 M-Th; 9-8 F; 9-7 S;11-5 Sun.
1198,Salem Battlecreek ,503-385-1725,5107 Commercial St SE ,Salem Battlecreek ,OR,97306,9-9 M-SAT; 10-7 Sun
1231,Salem Downtown ,503-364-8404,263 Commercial St SE ,Salem Downtown ,OR,97301,11-7 M-S; Closed Sunday
1157,Salem East ,503-581-5654,698A Lancaster Dr NE ,Salem East ,OR,97301,9-9 M-S; 9-7 Sun
1141,Salem North ,503-581-1910,"2829 Lancaster Dr. NE, Suite 150 ",Salem North ,OR,97305,9-9 M-S; 10-6 Sun
1017,Salem South ,503-363-5242,3320 Commercial SE ,Salem South ,OR,97302,8-8 M-Th; 8-9 FS; Closed Sunday
1177,Salem West ,503-399-8554,1144 Wallace Rd NW ,Salem West ,OR,97304,10-8 M-Th; 10-9 FS; 11-7 Sun
1116,Sandy ,503-668-4447,38755 Pioneer Blvd ,Sandy ,OR,97055,10-8 M-S; 11-6 Sun
1156,Scappoose ,503-543-6515,52517 Columbia River Hwy ,Scappoose ,OR,97056,10-7 M-F; 10-6 S; Closed Sunday
1151,Seaside ,503-738-6641,"740 Avenue H, Suite A ",Seaside ,OR,97138,"11-7 M-S, 12-5 Sun"
1047,Shady Cove ,541-878-2121,22111 Highway 62 ,Shady Cove ,OR,97539,7-10 M-Sun
1053,Sheridan ,503-843-2422,103 E Main Street ,Sheridan ,OR,97378,9-6 M-S; Closed Sunday
1124,Sherwood ,503-925-0467,16350 SW Langer Dr ,Sherwood ,OR,97140,10:30-7:30 M-Th; 10:30-8 FS; Closed Sunday
1133,Silver Lake ,541-576-2131,65554 Hwy 31 ,Silver Lake ,OR,97638,Winter: 8-7 M-S; Summer: 8-7 M-S; 10-3 Sun
1008,Silverton ,503-873-5050,920 N First Street ,Silverton ,OR,97381,10-7 M-S; Closed Sunday
1090,Sisters,541-549-9841,111 W Cascade Avenue ,Sisters,OR,97759,Win: 9:30-6M-S; 9:30-5Sun.Sum: 9:30-7M-S;9:30-5Sun
1196,Springfield East ,541-726-9278,5511 Main St ,Springfield East ,OR,97477,10-8 M-S; Closed Sunday
1143,Springfield Gateway ,541-736-3959,812 Beltline Rd. ,Springfield Gateway ,OR,97477,11-8 M-S; 12-5 Sun
1195,Springfield West ,541-746-4611,1408 Mohawk Blvd ,Springfield West ,OR,97477,10-8 M-S; Closed Sunday
1028,ST Helens ,503-397-1733,420 Columbia Blvd ,ST Helens ,OR,97051,10-7 M-F; 10-6 S; 12-5 Sun
1144,Stanfield ,541-449-3244,225 Main St ,Stanfield ,OR,97875,7-9 M-S; 7-9 Sun
